,compound,neg,neu,pos
166,0.9441,0.018,0.896,0.087
167,-0.9476,0.094,0.822,0.083
168,-0.9256,0.096,0.82,0.084
169,0.8779,0.0,0.778,0.222
170,-0.8325,0.149,0.739,0.112
171,-0.421,0.082,0.842,0.076
172,0.1124,0.113,0.777,0.11
173,-0.9091,0.141,0.837,0.021
174,-0.9974,0.169,0.74,0.091
175,0.5522,0.08,0.835,0.086
176,0.9986,0.058,0.824,0.118
177,-0.604,0.112,0.779,0.109
178,-0.8064,0.104,0.808,0.088
179,0.9748,0.044,0.869,0.087
180,-0.9951,0.097,0.848,0.055
181,0.9874,0.12,0.743,0.137
182,0.998,0.045,0.742,0.212
183,0.296,0.112,0.789,0.099
184,0.9424,0.047,0.854,0.098
185,0.8608,0.058,0.866,0.077
186,0.9936,0.033,0.804,0.163
187,0.9917,0.051,0.736,0.213
188,-0.775,0.088,0.843,0.069
189,0.7094,0.094,0.808,0.098
190,0.9972,0.037,0.849,0.114
191,-0.4195,0.051,0.903,0.046
192,-0.9713,0.104,0.838,0.057
193,0.8174,0.066,0.844,0.09
194,0.7828,0.053,0.87,0.077
195,-0.0516,0.044,0.924,0.032
196,-0.5225,0.068,0.875,0.057
197,0.9845,0.045,0.872,0.084
198,0.7278,0.058,0.869,0.073
199,-0.8883,0.068,0.886,0.046
200,-0.3455,0.052,0.893,0.055
201,-0.9693,0.092,0.861,0.047
202,-0.9925,0.146,0.827,0.027
203,0.6785,0.097,0.803,0.1
204,-0.9773,0.132,0.791,0.077
205,0.7714,0.098,0.801,0.101
206,0.9285,0.078,0.835,0.088
207,-0.9249,0.089,0.846,0.065
208,-0.997,0.117,0.808,0.075
209,0.4953,0.043,0.896,0.061
210,-0.95,0.108,0.849,0.043
211,-0.8462,0.082,0.848,0.071
212,-0.9277,0.094,0.845,0.061
213,-0.9631,0.079,0.903,0.018
214,-0.7373,0.076,0.859,0.065
215,0.9964,0.057,0.854,0.089
216,0.691,0.038,0.911,0.051
217,-0.7339,0.044,0.948,0.009
218,0.7527,0.103,0.801,0.095
219,-0.9854,0.11,0.875,0.015
220,0.4915,0.038,0.935,0.027
221,0.8605,0.037,0.882,0.081
222,0.1307,0.049,0.897,0.055
223,0.3544,0.071,0.852,0.077
224,-0.9663,0.098,0.849,0.053
225,-0.6619,0.101,0.805,0.094
226,-0.6783,0.074,0.889,0.037
227,0.9473,0.033,0.879,0.088
228,0.6821,0.043,0.902,0.055
229,0.98,0.076,0.809,0.115
230,-0.3164,0.071,0.87,0.059
231,0.9366,0.061,0.847,0.092
232,-0.3365,0.062,0.884,0.054
233,-0.9909,0.097,0.859,0.044
234,-0.9702,0.123,0.81,0.067
235,-0.9439,0.115,0.794,0.091
236,-0.6952,0.103,0.824,0.073
237,-0.9882,0.153,0.828,0.019
238,-0.9852,0.109,0.827,0.064
239,-0.9941,0.121,0.804,0.076
240,-0.9968,0.166,0.77,0.065
241,-0.9869,0.135,0.813,0.052
242,0.9507,0.047,0.869,0.084
243,-0.8926,0.074,0.88,0.046
244,0.8983,0.027,0.903,0.069
245,0.9909,0.078,0.809,0.113
246,-0.8287,0.064,0.885,0.05
247,-0.9911,0.113,0.841,0.046
248,0.2325,0.032,0.947,0.021
249,0.5927,0.01,0.944,0.047
250,-0.5945,0.082,0.842,0.075
251,0.98,0.038,0.873,0.089
252,0.9896,0.024,0.903,0.074
253,0.9309,0.057,0.842,0.101
254,0.8664,0.053,0.879,0.068
255,0.997,0.078,0.813,0.109
256,0.9873,0.016,0.909,0.075
257,0.9926,0.06,0.845,0.095
258,0.9279,0.012,0.925,0.063
259,0.9796,0.018,0.897,0.085
260,0.9619,0.05,0.857,0.093
261,-0.9901,0.135,0.771,0.094
262,-0.9313,0.087,0.858,0.055
263,-0.9414,0.08,0.848,0.072
264,0.6857,0.064,0.849,0.087
265,0.784,0.057,0.756,0.187
266,0.6486,0.029,0.839,0.132
267,0.9838,0.08,0.827,0.093
268,0.9981,0.073,0.802,0.126
269,0.7287,0.047,0.894,0.059
270,0.9922,0.071,0.807,0.122
271,-0.8422,0.104,0.808,0.088
272,0.9958,0.024,0.863,0.112
273,0.9961,0.019,0.882,0.099
274,0.9873,0.009,0.868,0.123
275,0.5499,0.038,0.898,0.063
276,0.8164,0.039,0.907,0.054
277,0.9977,0.042,0.861,0.097
278,0.474,0.047,0.893,0.06
279,0.3111,0.091,0.806,0.104
280,0.8076,0.095,0.792,0.113
281,-0.0547,0.065,0.866,0.069
282,-0.6262,0.083,0.841,0.076
283,-0.9661,0.072,0.877,0.051
284,-0.9448,0.082,0.873,0.045
285,-0.2406,0.039,0.916,0.045
286,0.3709,0.076,0.844,0.08
287,-0.8219,0.093,0.828,0.079
288,-0.6259,0.083,0.861,0.056
289,0.9443,0.027,0.91,0.063
290,0.291,0.051,0.908,0.041
291,-0.7668,0.082,0.85,0.068
292,-0.9441,0.099,0.836,0.065
293,0.9422,0.06,0.867,0.072
294,0.8378,0.03,0.921,0.048
295,-0.9881,0.119,0.845,0.036
296,-0.9474,0.1,0.831,0.069
297,0.9943,0.121,0.738,0.141
298,-0.9826,0.092,0.839,0.069
299,-0.9985,0.153,0.778,0.07
300,-0.8966,0.077,0.885,0.038
301,-0.9927,0.109,0.825,0.066
302,0.8271,0.059,0.84,0.101
